thetas version times mems
10 0.2.5 482.59 10624
10 0.2.5 474.35 10720
10 0.2.5 480.76 10688
10 0.2.5 471.7 10592
10 0.2.5 473.13 10688
10 0.2.5 474.07 10608
10 0.2.5 476.53 10640
10 0.2.5 475.17 11088
10 0.2.5 476.57 10560
10 0.2.5 476.95 10624
10 0.2.5 472.23 10688
10 0.2.5 472.82 10608
10 0.2.5 475.82 10640
10 0.2.5 472.3 10880
10 0.2.5 475.09 10608
10 0.2.5 477.11 10608
10 0.2.5 474.02 10560
10 0.2.5 478.35 10688
10 0.2.5 479.95 10608
10 0.2.5 476.18 10656
10 0.2.5 477.96 10624
10 0.2.5 477.93 10656
10 0.2.5 475.91 10592
10 0.2.5 476.02 10608
10 0.2.5 474.82 10592
10 0.2.5 477.05 10880
10 0.2.5 475.38 10688
10 0.2.5 477.11 10640
10 0.2.5 477.33 10656
10 0.2.5 476.99 10640
10 0.2.5 477.61 10720
10 0.2.5 475.26 11056
10 0.2.5 476.05 10656
10 0.2.5 475.33 10592
10 0.2.5 475.85 10688
10 0.2.5 474.17 10640
10 0.2.5 475.15 10688
10 0.2.5 475.68 10656
10 0.2.5 473.67 10640
10 0.2.5 470.73 10592
10 0.2.5 469.15 10656
10 0.2.5 473.55 10880
10 0.2.5 470.78 10560
10 0.2.5 474.28 10656
10 0.2.5 476.54 10880
10 0.2.5 492.12 10672
10 0.2.5 476.71 10704
10 0.2.5 465.71 10640
10 0.2.5 476.27 10608
10 0.2.5 478.16 10592
10 0.2.5 478.38 10592
10 0.2.5 472.45 10688
10 0.2.5 476.05 10688
10 0.2.5 477.05 10624
10 0.2.5 477.15 10672
10 0.2.5 474.61 10704
10 0.2.5 475.66 10688
10 0.2.5 475.23 10608
10 0.2.5 476.55 10784
10 0.2.5 480.75 10592
10 0.2.5 472.49 10608
10 0.2.5 476.24 10688
10 0.2.5 477.38 10672
10 0.2.5 474.9 10592
10 0.2.5 458.49 10608
10 0.2.5 449.57 10656
10 0.2.5 454.29 10672
10 0.2.5 455.39 10688
10 0.2.5 452.72 10608
10 0.2.5 457.61 10608
10 0.2.5 452.58 10672
10 0.2.5 444.47 11056
10 0.2.5 452.68 10624
10 0.2.5 445.92 10704
10 0.2.5 455.79 10672
10 0.2.5 457.55 10688
10 0.2.5 458.37 10672
10 0.2.5 453.76 10704
10 0.2.5 449.19 10704
10 0.2.5 458.4 10640
10 0.2.5 449.73 10640
10 0.2.5 442.92 10704
10 0.2.5 459.06 10704
10 0.2.5 446.79 10880
10 0.2.5 458.18 10720
10 0.2.5 450.07 10624
10 0.2.5 453.98 10608
10 0.2.5 438.75 10592
10 0.2.5 455.79 11072
10 0.2.5 444.6 10704
10 0.2.5 457.45 10624
10 0.2.5 448.79 10704
10 0.2.5 458.67 10624
10 0.2.5 448.29 10608
10 0.2.5 455.04 10672
10 0.2.5 451.01 10608
10 0.2.5 455.04 10704
10 0.2.5 532.01 10688
10 0.2.5 459.54 10688
10 0.2.5 459.19 10688
10 0.2.5 459.36 10720
10 0.2.5 452.59 10672
10 0.2.5 445.62 10640
10 0.2.5 414.96 10608
10 0.2.5 459.61 10672
10 0.2.5 443.24 10688
10 0.2.5 458.79 10688
10 0.2.5 445.83 10608
10 0.2.5 454.74 10656
10 0.2.5 452.34 10592
10 0.2.5 454.87 10656
10 0.2.5 451.78 10656
10 0.2.5 450.91 10720
10 0.2.5 442.41 10656
10 0.2.5 452.34 10688
10 0.2.5 448.68 10688
